iso3,Date,forwardspread,logrx
AUS,1992-05-29,0.00219273461264499,0.00294773653601398
AUS,1992-06-30,0.00231438380210475,-0.0104437629826201
AUS,1992-07-31,0.00222965532726907,-0.00223463780141638
AUS,1992-08-31,0.00193735934022618,-0.033077158504876
AUS,1992-09-30,0.0022801777016216,-0.00486270981075853
AUS,1992-10-30,0.00215210607552252,-0.0238416300015257
AUS,1992-11-30,0.00136332672786413,-0.0165065646017024
AUS,1992-12-31,0.0027472544751387,0.00958255108099616
AUS,1993-01-29,0.00162954951866249,-0.00928461066201587
AUS,1993-02-26,0.00201451910718806,0.0246569958569479
AUS,1993-03-31,0.00147788478287397,0.01475087041921
AUS,1993-04-30,0.0019059053522796,0.00472280862339286
AUS,1993-05-31,0.00130400485174447,-0.0265142006247862
AUS,1993-06-30,0.00173021937088299,-0.0293323725702986
